Num	Gene_ID
1	ENSG00000000419
2	ENSG00000001036
3	ENSG00000001084
4	ENSG00000001630
5	ENSG00000002549
6	ENSG00000002726
7	ENSG00000003137
8	ENSG00000003989
9	ENSG00000004455
10	ENSG00000004779
11	ENSG00000004809
12	ENSG00000004864
13	ENSG00000004939
14	ENSG00000005022
15	ENSG00000005075
16	ENSG00000005249
17	ENSG00000005381
18	ENSG00000005421
19	ENSG00000005469
20	ENSG00000005483
21	ENSG00000005882
22	ENSG00000006062
23	ENSG00000006625
24	ENSG00000006756
25	ENSG00000006757
26	ENSG00000007001
27	ENSG00000007047
28	ENSG00000007168
29	ENSG00000007350
30	ENSG00000008128
31	ENSG00000008130
32	ENSG00000008311
33	ENSG00000008394
34	ENSG00000008513
35	ENSG00000010256
36	ENSG00000010404
37	ENSG00000010810
38	ENSG00000011009
39	ENSG00000011052
40	ENSG00000011083
41	ENSG00000011485
42	ENSG00000011566
43	ENSG00000012660
44	ENSG00000012779
45	ENSG00000012983
46	ENSG00000013288
47	ENSG00000013375
48	ENSG00000013392
49	ENSG00000013441
50	ENSG00000013503
51	ENSG00000014138
52	ENSG00000014641
53	ENSG00000015520
54	ENSG00000015532
55	ENSG00000016864
56	ENSG00000017260
57	ENSG00000017797
58	ENSG00000018280
59	ENSG00000018510
60	ENSG00000019186
61	ENSG00000021461
62	ENSG00000023041
63	ENSG00000023228
64	ENSG00000023330
65	ENSG00000023572
66	ENSG00000023697
67	ENSG00000023909
68	ENSG00000025800
69	ENSG00000026103
70	ENSG00000027847
71	ENSG00000028116
72	ENSG00000030066
73	ENSG00000030304
74	ENSG00000031698
75	ENSG00000032444
76	ENSG00000033011
77	ENSG00000033100
78	ENSG00000033170
79	ENSG00000033867
80	ENSG00000034152
81	ENSG00000035687
82	ENSG00000037757
83	ENSG00000038002
84	ENSG00000038210
85	ENSG00000038274
86	ENSG00000039123
87	ENSG00000040933
88	ENSG00000044524
89	ENSG00000047230
90	ENSG00000047249
91	ENSG00000047315
92	ENSG00000047410
93	ENSG00000047936
94	ENSG00000048392
95	ENSG00000049239
96	ENSG00000049860
97	ENSG00000050748
98	ENSG00000052802
99	ENSG00000053371
100	ENSG00000054148
101	ENSG00000054392
102	ENSG00000054983
103	ENSG00000055332
104	ENSG00000056998
105	ENSG00000057252
106	ENSG00000058091
107	ENSG00000058600
108	ENSG00000058668
109	ENSG00000058729
110	ENSG00000058804
111	ENSG00000059573
112	ENSG00000059758
113	ENSG00000059804
114	ENSG00000060069
115	ENSG00000060237
116	ENSG00000060642
117	ENSG00000060656
118	ENSG00000060762
119	ENSG00000060971
120	ENSG00000060982
121	ENSG00000061918
122	ENSG00000062485
123	ENSG00000062822
124	ENSG00000063176
125	ENSG00000063601
126	ENSG00000063854
127	ENSG00000064601
128	ENSG00000064763
129	ENSG00000065154
130	ENSG00000065243
131	ENSG00000065427
132	ENSG00000065518
133	ENSG00000065559
134	ENSG00000065613
135	ENSG00000065833
136	ENSG00000065911
137	ENSG00000066230
138	ENSG00000066322
139	ENSG00000066379
140	ENSG00000066926
141	ENSG00000067057
142	ENSG00000067064
143	ENSG00000067113
144	ENSG00000067225
145	ENSG00000067829
146	ENSG00000067840
147	ENSG00000067900
148	ENSG00000068001
149	ENSG00000068078
150	ENSG00000068120
151	ENSG00000068366
152	ENSG00000068383
153	ENSG00000068654
154	ENSG00000068745
155	ENSG00000068903
156	ENSG00000069248
157	ENSG00000069943
158	ENSG00000069956
159	ENSG00000070501
160	ENSG00000070610
161	ENSG00000070614
162	ENSG00000070669
163	ENSG00000070731
164	ENSG00000070748
165	ENSG00000070770
166	ENSG00000070778
167	ENSG00000070961
168	ENSG00000071054
169	ENSG00000071242
170	ENSG00000071553
171	ENSG00000071967
172	ENSG00000072042
173	ENSG00000072062
174	ENSG00000072135
175	ENSG00000072310
176	ENSG00000072506
177	ENSG00000072518
178	ENSG00000072682
179	ENSG00000072756
180	ENSG00000072778
181	ENSG00000072786
182	ENSG00000073060
183	ENSG00000073417
184	ENSG00000073578
185	ENSG00000073711
186	ENSG00000073734
187	ENSG00000073737
188	ENSG00000073756
189	ENSG00000074590
190	ENSG00000074621
191	ENSG00000074696
192	ENSG00000074800
193	ENSG00000074966
194	ENSG00000075188
195	ENSG00000075239
196	ENSG00000075413
197	ENSG00000075415
198	ENSG00000076201
199	ENSG00000076351
200	ENSG00000076685
201	ENSG00000076984
202	ENSG00000077463
203	ENSG00000077498
204	ENSG00000077514
205	ENSG00000077782
206	ENSG00000078061
207	ENSG00000078070
208	ENSG00000079215
209	ENSG00000079459
210	ENSG00000079462
211	ENSG00000079739
212	ENSG00000079805
213	ENSG00000079931
214	ENSG00000080511
215	ENSG00000080819
216	ENSG00000081181
217	ENSG00000081237
218	ENSG00000081320
219	ENSG00000081721
220	ENSG00000081800
221	ENSG00000083123
222	ENSG00000083223
223	ENSG00000083720
224	ENSG00000083807
225	ENSG00000084090
226	ENSG00000084207
227	ENSG00000084754
228	ENSG00000084774
229	ENSG00000085231
230	ENSG00000085415
231	ENSG00000085511
232	ENSG00000085662
233	ENSG00000085871
234	ENSG00000085998
235	ENSG00000086015
236	ENSG00000086062
237	ENSG00000086159
238	ENSG00000086232
239	ENSG00000086544
240	ENSG00000086848
241	ENSG00000087008
242	ENSG00000087053
243	ENSG00000087076
244	ENSG00000087085
245	ENSG00000087095
246	ENSG00000087157
247	ENSG00000087253
248	ENSG00000087470
249	ENSG00000087586
250	ENSG00000088035
251	ENSG00000088766
252	ENSG00000088826
253	ENSG00000089057
254	ENSG00000089597
255	ENSG00000090013
256	ENSG00000090020
257	ENSG00000090054
258	ENSG00000090060
259	ENSG00000090266
260	ENSG00000090402
261	ENSG00000090661
262	ENSG00000090857
263	ENSG00000090861
264	ENSG00000090971
265	ENSG00000091138
266	ENSG00000091140
267	ENSG00000091483
268	ENSG00000092621
269	ENSG00000092964
270	ENSG00000093000
271	ENSG00000093010
272	ENSG00000093217
273	ENSG00000094841
274	ENSG00000094914
275	ENSG00000095015
276	ENSG00000095059
277	ENSG00000095139
278	ENSG00000095319
279	ENSG00000095321
280	ENSG00000095380
281	ENSG00000095464
282	ENSG00000095596
283	ENSG00000096006
284	ENSG00000096063
285	ENSG00000096717
286	ENSG00000096968
287	ENSG00000097007
288	ENSG00000097021
289	ENSG00000097033
290	ENSG00000097046
291	ENSG00000099194
292	ENSG00000099308
293	ENSG00000099377
294	ENSG00000099381
295	ENSG00000099624
296	ENSG00000099795
297	ENSG00000099797
298	ENSG00000099810
299	ENSG00000099817
300	ENSG00000099821
301	ENSG00000099875
302	ENSG00000099904
303	ENSG00000099998
304	ENSG00000100030
305	ENSG00000100031
306	ENSG00000100034
307	ENSG00000100075
308	ENSG00000100092
309	ENSG00000100101
310	ENSG00000100116
311	ENSG00000100121
312	ENSG00000100142
313	ENSG00000100170
314	ENSG00000100243
315	ENSG00000100288
316	ENSG00000100292
317	ENSG00000100294
318	ENSG00000100330
319	ENSG00000100344
320	ENSG00000100348
321	ENSG00000100372
322	ENSG00000100412
323	ENSG00000100413
324	ENSG00000100417
325	ENSG00000100422
326	ENSG00000100448
327	ENSG00000100504
328	ENSG00000100522
329	ENSG00000100526
330	ENSG00000100554
331	ENSG00000100596
332	ENSG00000100600
333	ENSG00000100605
334	ENSG00000100644
335	ENSG00000100652
336	ENSG00000100714
337	ENSG00000100749
338	ENSG00000100889
339	ENSG00000100938
