g	p	FC
ENSG00000233098	1e-100	-1
ENSG00000150551	1e-100	-1
ENSG00000115657	1e-100	1
ENSG00000235508	1e-100	1
ENSG00000116017	1e-100	-1
ENSG00000216866	1e-100	1
ENSG00000163682	1.24904601751707e-83	1
ENSG00000227827	2.46837824877152e-78	-1
ENSG00000240024	1.41575209225754e-73	-1
ENSG00000106624	2.22011822336221e-72	1
ENSG00000137752	3.80547183176314e-72	1
ENSG00000145708	1.9975174378248e-68	-1
ENSG00000104059	2.4066517862114e-60	-1
ENSG00000123500	6.05534413958389e-60	1
ENSG00000151952	1.30054896230869e-59	-1
ENSG00000118495	3.20068996042808e-59	1
ENSG00000226445	3.83549990595857e-59	1
ENSG00000097007	1.09086879754245e-58	1
ENSG00000187546	2.03269910330933e-57	1
ENSG00000285628	2.79757289274792e-57	-1
ENSG00000182179	3.56324160785449e-57	1
ENSG00000231806	1.57020112448436e-54	-1
ENSG00000243742	4.05148250221176e-54	1
ENSG00000131759	8.55109797042687e-54	1
ENSG00000170891	5.40495442838437e-53	1
ENSG00000264204	6.05262347468432e-53	-1
ENSG00000178104	1.08531677165613e-52	1
ENSG00000237807	3.04755978140514e-51	1
ENSG00000132196	1.19019955529878e-50	-1
ENSG00000127528	1.61787750349554e-50	1
ENSG00000168653	6.50512145153628e-50	-1
ENSG00000082515	1.39826274101171e-48	-1
ENSG00000128918	1.29596174096914e-46	1
ENSG00000128284	1.66349197289504e-46	1
ENSG00000180304	2.44664671533898e-46	-1
ENSG00000205403	1.12686704098148e-44	1
ENSG00000254614	1.8336936827826e-44	-1
ENSG00000196109	4.3000762261513e-44	1
ENSG00000167995	4.68416463927088e-44	1
ENSG00000261115	1.92289064080031e-43	-1
ENSG00000040341	2.04498425962002e-42	-1
ENSG00000139719	2.05868643692943e-42	-1
ENSG00000248103	2.05868643692943e-42	-1
ENSG00000128335	3.45754275951107e-42	1
ENSG00000150995	1.55260444075292e-41	1
ENSG00000109193	5.29255889381643e-41	1
ENSG00000073331	9.56822618685999e-41	1
ENSG00000141338	1.29369238023838e-40	1
ENSG00000100603	1.30365051380778e-40	-1
ENSG00000104723	4.57057185913393e-39	1
ENSG00000176396	7.42503805852067e-39	-1
ENSG00000135472	1.40887613577301e-38	1
ENSG00000107551	1.5371898664855e-38	-1
ENSG00000106948	6.22269086045216e-38	1
ENSG00000107281	9.06398143720797e-38	1
ENSG00000147162	1.17635044890237e-37	1
ENSG00000166797	1.33059036015051e-37	-1
ENSG00000180071	1.33059036015051e-37	-1
ENSG00000151090	1.84524385933082e-37	1
ENSG00000159352	1.98254315727371e-37	-1
ENSG00000156831	5.87340685244826e-37	-1
ENSG00000238083	7.69689469867398e-37	-1
ENSG00000183323	8.26519226802601e-37	1
ENSG00000138622	9.90199653568167e-37	-1
ENSG00000178031	1.26865288313759e-36	1
ENSG00000158286	2.68424751236273e-36	1
ENSG00000213949	2.68424751236273e-36	-1
ENSG00000237190	3.14864406738421e-36	-1
ENSG00000165731	1.52265160983331e-35	-1
ENSG00000088538	2.07753524952478e-35	-1
ENSG00000116161	4.92959830625606e-35	-1
ENSG00000111799	9.69960545899176e-35	1
ENSG00000146072	9.69960545899176e-35	-1
ENSG00000113580	1.00458776210738e-34	1
ENSG00000157500	1.12285489960131e-34	1
ENSG00000145494	1.82252656915939e-34	-1
ENSG00000182362	2.04580192620749e-34	-1
ENSG00000127415	2.63536737500416e-34	1
ENSG00000169762	2.82310558410407e-34	1
ENSG00000100220	2.97960741233503e-34	-1
ENSG00000111639	6.2979781235207e-34	-1
ENSG00000241837	6.2979781235207e-34	-1
ENSG00000169136	1.15793782255643e-33	1
ENSG00000117600	1.66468054626187e-33	1
ENSG00000125534	2.08328146753568e-33	1
ENSG00000114698	2.20277316766457e-33	1
ENSG00000168488	2.30514829609634e-33	1
ENSG00000173535	2.47698618009606e-33	-1
ENSG00000166448	2.77491617341828e-33	1
ENSG00000176046	2.94928323081897e-33	1
ENSG00000135828	8.90179011341538e-33	1
ENSG00000126698	9.06374820786158e-33	-1
ENSG00000059378	9.65249177589346e-33	1
ENSG00000153714	1.03648578470423e-32	1
ENSG00000142686	1.18371257413776e-32	1
ENSG00000146109	1.48341658153124e-32	-1
ENSG00000125826	4.47218297002946e-32	1
ENSG00000161912	4.67660764960309e-32	1
ENSG00000106588	6.2218335351589e-32	-1
ENSG00000138413	9.91972548708985e-32	-1
ENSG00000152580	9.91972548708985e-32	1
