g	p	FC
ENSG00000000003	2.56151155384704e-06	1
ENSG00000000419	0.134135281979973	1
ENSG00000000457	0.000318127823160141	1
ENSG00000000460	4.43133564895421e-11	1
ENSG00000000938	4.17751285494303e-17	-1
ENSG00000000971	0.14731960839654	1
ENSG00000001036	0.0140554277680854	1
ENSG00000001084	2.52996823177197e-13	1
ENSG00000001167	5.94776303039215e-07	1
ENSG00000001460	0.865672915793852	1
ENSG00000001461	0.00516720531136683	-1
ENSG00000001497	2.87548775449192e-05	1
ENSG00000001561	0.0604636136218424	-1
ENSG00000001617	0.500285931021329	-1
ENSG00000001626	0.0380266946510836	-1
ENSG00000001629	5.2844684689056e-05	1
ENSG00000001630	1.1062701793997e-05	-1
ENSG00000001631	0.150631456865803	1
ENSG00000002016	0.533884258581516	1
ENSG00000002330	0.557793763482087	-1
ENSG00000002549	0.734421848127485	-1
ENSG00000002586	0.626712080335393	1
ENSG00000002587	4.75599922011052e-09	1
ENSG00000002726	3.99737243815988e-15	1
ENSG00000002745	1.81412496382888e-10	1
ENSG00000002746	4.78358064375353e-09	1
ENSG00000002822	0.0411663638186411	1
ENSG00000002834	0.00108833376290528	1
ENSG00000002919	0.878011135964815	1
ENSG00000002933	5.08969810551228e-06	1
ENSG00000003056	0.72760952436751	-1
ENSG00000003096	0.533521384962001	1
ENSG00000003137	0.0043724265518572	-1
ENSG00000003147	3.85244785081885e-10	1
ENSG00000003249	7.93545855334927e-20	1
ENSG00000003393	0.462955894234576	1
ENSG00000003400	0.6733920164055	-1
ENSG00000003402	0.000547756908313349	-1
ENSG00000003436	0.11222662177695	-1
ENSG00000003509	0.183158838738977	1
ENSG00000003756	0.0807149746782452	-1
ENSG00000003987	3.04745898301265e-08	1
ENSG00000003989	0.000225922494834975	1
ENSG00000004059	0.0246187399751929	1
ENSG00000004139	0.325335396205951	1
ENSG00000004142	6.45669464921331e-09	1
ENSG00000004399	0.226092839435828	-1
ENSG00000004468	0.0696196267903706	1
ENSG00000004478	3.29349071369805e-11	1
ENSG00000004487	7.6191013982511e-09	1
ENSG00000004534	0.141121047407195	-1
ENSG00000004660	0.167697325213941	-1
ENSG00000004700	0.238392269305346	1
ENSG00000004766	0.46874044947619	1
ENSG00000004776	0.000160284643967001	-1
ENSG00000004777	0.000280195924588977	1
ENSG00000004779	0.00968129893835962	1
ENSG00000004799	1.88545308405538e-09	-1
ENSG00000004809	0.131173552298016	-1
ENSG00000004838	0.0650349667024283	-1
ENSG00000004846	0.652989898865887	-1
ENSG00000004848	0.000299067929312611	1
ENSG00000004864	3.07311782472845e-16	1
ENSG00000004866	0.000154784663005179	-1
ENSG00000004897	0.000131171007021433	1
ENSG00000004939	0.0730324533262637	-1
ENSG00000004961	0.00185259885963093	1
ENSG00000004975	0.0609397872118607	1
ENSG00000005001	8.15170336000676e-08	1
ENSG00000005007	0.0112309757556246	1
ENSG00000005020	0.511093237393316	-1
ENSG00000005022	0.0371943973756587	1
ENSG00000005059	0.408378056519855	1
ENSG00000005075	3.11149824727828e-05	1
ENSG00000005100	0.000559933867490778	1
ENSG00000005102	4.86591746171425e-05	-1
ENSG00000005108	0.22950513638949	-1
ENSG00000005156	5.80427484978543e-16	1
ENSG00000005175	1.56224665292498e-06	1
ENSG00000005187	0.226278808743489	1
ENSG00000005189	9.61690741574159e-07	1
ENSG00000005194	0.0386202722238905	1
ENSG00000005238	0.410630219363387	-1
ENSG00000005243	0.930112645704273	-1
ENSG00000005249	0.852867378945252	-1
ENSG00000005302	0.711425807321654	-1
ENSG00000005339	0.040228874026655	1
ENSG00000005379	0.317594547426486	-1
ENSG00000005381	0.628530957898136	1
ENSG00000005421	0.148314913165064	1
ENSG00000005436	0.0210455743835678	1
ENSG00000005448	0.62935219954831	-1
ENSG00000005469	0.916545880036251	1
ENSG00000005471	6.90231319400826e-09	1
ENSG00000005483	0.825207063998548	1
ENSG00000005486	0.0735318538633361	-1
ENSG00000005513	0.00225391132129178	1
ENSG00000005700	0.116574807273362	1
ENSG00000005801	0.00635225131926378	1
ENSG00000005810	0.9584311349117	1
ENSG00000005812	5.17147163481071e-06	-1
ENSG00000005844	0.00192936172211718	-1
ENSG00000005882	0.962252419937932	-1
ENSG00000005884	0.398663468131005	1
ENSG00000005889	0.610324122069331	-1
ENSG00000005893	0.523415473492093	1
ENSG00000005955	0.0547591222764724	1
ENSG00000005961	0.379352387633554	-1
ENSG00000006007	0.532301892897897	1
ENSG00000006015	0.785315636173831	-1
ENSG00000006016	1.47162021325163e-07	1
ENSG00000006025	0.107316536785288	1
ENSG00000006042	0.402276324100752	1
ENSG00000006047	7.33349526834119e-24	1
ENSG00000006071	0.731822960205233	1
ENSG00000006074	0.0223434267621493	-1
ENSG00000006075	0.271816817748624	-1
ENSG00000006114	0.0328464391638434	1
ENSG00000006118	1.51974550202835e-16	1
ENSG00000006125	0.00816795063236068	1
ENSG00000006194	0.0235843935107656	1
ENSG00000006210	0.000102855958465363	-1
ENSG00000006282	0.000943976008515944	1
ENSG00000006283	1.09745865060033e-05	1
ENSG00000006327	0.141131908796598	1
ENSG00000006377	1.57774168607157e-12	1
ENSG00000006432	0.147981500163462	1
ENSG00000006451	0.0178867322438205	-1
ENSG00000006453	1.45149732615593e-12	1
ENSG00000006459	0.387555656101925	1
ENSG00000006468	2.45879643253602e-09	-1
ENSG00000006530	0.000643799034533031	1
ENSG00000006534	0.0108812671735795	-1
ENSG00000006555	2.87619380290465e-05	1
ENSG00000006576	0.00122778377187892	1
ENSG00000006607	0.903728041687104	1
ENSG00000006611	2.7370507725324e-13	1
ENSG00000006625	1.67931013685205e-16	1
ENSG00000006634	4.18839351764618e-11	1
ENSG00000006638	0.0156114853718555	-1
ENSG00000006652	0.726069764491338	1
ENSG00000006695	0.0112540897162793	1
ENSG00000006704	5.83416108115217e-09	1
ENSG00000006712	0.0529123297675435	1
ENSG00000006715	0.49907583399753	1
ENSG00000006740	4.48538705593871e-10	-1
ENSG00000006744	0.00885392144925721	1
ENSG00000006747	2.64960102544321e-06	1
ENSG00000006756	3.81510920461882e-05	1
ENSG00000006757	0.900234178181118	1
ENSG00000006831	0.116183360039603	-1
ENSG00000006837	0.78336568060145	-1
ENSG00000007038	0.125329847456694	1
ENSG00000007047	5.33546770146804e-06	1
ENSG00000007062	0.00345951225031207	1
ENSG00000007080	0.574528031877134	1
ENSG00000007129	1.0889191386669e-06	-1
ENSG00000007168	0.073456795762028	-1
ENSG00000007171	0.81535781565228	1
ENSG00000007174	0.496957743978245	-1
ENSG00000007202	0.072555672080384	1
ENSG00000007216	0.0336735312651112	1
ENSG00000007237	0.0324512743444426	-1
ENSG00000007255	0.256740903665689	1
ENSG00000007264	0.000584722444924515	-1
ENSG00000007306	1.04156768549307e-13	1
ENSG00000007312	0.0334019064641349	1
ENSG00000007314	0.00181048779481755	1
ENSG00000007341	0.159540070031588	-1
ENSG00000007350	0.0970411449308117	1
ENSG00000007372	0.0105947470526955	-1
ENSG00000007376	2.08677696452125e-07	1
ENSG00000007384	0.00880986747829544	1
ENSG00000007392	0.823916553942843	-1
ENSG00000007402	2.04924979254629e-11	-1
ENSG00000007516	0.3588423889184	1
ENSG00000007520	0.0714493310377501	1
ENSG00000007541	0.354610948445975	-1
ENSG00000007545	0.718275458363049	-1
ENSG00000007866	0.00395875917016888	1
ENSG00000007908	6.88539658635165e-10	-1
ENSG00000007923	6.14584422740296e-06	1
ENSG00000007933	0.000458505965099685	-1
ENSG00000007944	0.140589610163178	-1
ENSG00000007952	2.16093606709673e-07	1
ENSG00000007968	1.89551932070594e-12	1
ENSG00000008018	0.326513524518545	1
ENSG00000008056	0.0170598872040989	1
ENSG00000008083	0.00313810720888461	1
ENSG00000008086	0.00201396353911677	-1
ENSG00000008118	0.796345579322836	1
ENSG00000008130	0.000161801825658386	1
ENSG00000008196	1.4816587900995e-06	1
ENSG00000008197	4.59839725357977e-09	1
ENSG00000008226	0.159144321436431	-1
ENSG00000008256	0.688826191362806	-1
ENSG00000008277	0.000330734042182474	1
ENSG00000008282	0.852553416415833	1
ENSG00000008283	0.000576785085272727	1
ENSG00000008294	0.239407336241262	-1
ENSG00000008300	7.09963863973724e-17	1
ENSG00000008311	0.484790726481541	-1
ENSG00000008323	4.41442284325032e-10	1
ENSG00000008324	0.666261567902662	1
ENSG00000008382	0.21753089622999	-1
ENSG00000008394	0.000617214801570899	1
ENSG00000008405	0.0570705936112727	-1
ENSG00000008441	0.00029708804364446	-1
ENSG00000008513	0.803790794669161	-1
ENSG00000008516	0.170202944159879	-1
ENSG00000008517	0.243579557450355	-1
ENSG00000008710	0.20553407019698	-1
ENSG00000008735	8.87165380777804e-06	1
ENSG00000008838	0.0422393689402313	1
ENSG00000008853	0.000493337309126234	-1
ENSG00000008869	0.676221669194231	-1
ENSG00000008952	0.412681444827385	-1
ENSG00000008988	0.761210462129484	-1
ENSG00000009307	0.573248746677205	-1
ENSG00000009335	0.00210309903951482	1
ENSG00000009413	0.0198738325549493	-1
ENSG00000009694	0.00137923863555329	1
ENSG00000009709	1.39430357235049e-08	1
ENSG00000009724	0.0141971723138484	-1
ENSG00000009765	9.5015704762028e-06	1
ENSG00000009780	0.0128334190957728	-1
ENSG00000009790	0.176629238471305	1
ENSG00000009830	0.00775358353946249	1
ENSG00000009844	0.0153570678918483	1
ENSG00000009950	0.0517769520593349	-1
ENSG00000009954	1.11522329957417e-05	1
ENSG00000010017	6.69176880444363e-08	1
ENSG00000010030	0.0100230092399566	1
ENSG00000010072	3.69830876633775e-05	1
ENSG00000010165	4.72705139435404e-07	1
ENSG00000010219	0.139937611557642	-1
ENSG00000010244	2.72051693245518e-05	1
ENSG00000010256	0.0659372966702056	1
ENSG00000010270	0.00151125773417868	-1
ENSG00000010278	6.26531830839298e-05	-1
ENSG00000010282	0.41096477740268	-1
ENSG00000010292	8.00244513819976e-12	1
