Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
ethanol[c]	11	-1.2906	0.91501	0.99999	1.2906	0.14027	0.75377	10.017	0.20643	0.70177	5	6.5983	0.38388	0.98993	6	7.539	0.13785	0.65625
NAD+[c]	169	10.14	0.85309	0.99999	-8.3243	0.18717	0.81989	31.871	0.33121	0.84777	105	25.726	0.67562	0.99076	64	18.839	0.08719	0.6069
acetaldehyde[c]	18	0.039411	0.89944	0.99999	-0.039411	0.16896	0.81568	12.68	0.15836	0.62529	10	8.4156	0.48362	0.99076	8	9.6113	0.054198	0.50541
H+[c]	720	33.783	0.052115	0.37768	-28.758	0.87876	1	66.191	0.14606	0.60522	481	59.648	0.20409	0.81349	239	30.267	0.39213	0.92837
NADH[c]	137	9.8029	0.7748	0.99999	-7.8199	0.23301	0.88301	30.544	0.13405	0.58723	87	24.265	0.53649	0.99076	50	18.552	0.026886	0.36865
NADP+[c]	207	8.3237	0.97738	0.99999	-4.9127	0.018054	0.27646	38.079	0.057643	0.40484	120	29.625	0.36584	0.98624	87	23.944	0.0092114	0.2526
NADPH[c]	197	7.9039	0.97814	0.99999	-4.4075	0.015722	0.25636	36.89	0.073499	0.45301	113	28.767	0.36946	0.98833	84	23.128	0.016152	0.30306
acetate[c]	41	7.4378	0.42938	0.9312	-7.0412	0.61766	1	16.429	0.30745	0.82908	27	14.355	0.39361	0.99076	14	8.1803	0.35014	0.90617
ATP[c]	993	44.732	0.00027705	0.012647	-40.444	0.9992	1	77.498	0.12103	0.56684	652	74.034	0.0027315	0.076709	341	29.876	0.98445	0.99607
CoA[c]	157	14.274	0.37398	0.8939	-14.25	0.77695	1	28.992	0.59338	0.9749	102	26.163	0.55059	0.99076	55	13.353	0.6261	0.9673
acetyl-CoA[c]	116	12.84	0.33773	0.85825	-12.811	0.78121	1	23.603	0.75935	0.97978	75	22.229	0.57157	0.99076	41	9.6367	0.84184	0.96952
AMP[c]	326	28.364	0.0032309	0.065763	-27.748	0.99843	1	42.231	0.57291	0.96915	223	41.76	0.15894	0.71126	103	13.686	0.98688	0.99607
PPi[c]	382	33.192	0.00010108	0.0062491	-32.579	0.99995	1	46.863	0.40336	0.87507	269	46.657	0.079334	0.49723	113	14.176	0.9912	0.9989
acetate[m]	13	-0.89159	0.9105	0.99999	0.89159	0.1467	0.76205	10.476	0.23045	0.74463	6	7.184	0.38465	0.98993	7	7.6248	0.16682	0.68544
ATP[m]	264	30.551	4.1761e-05	0.0030642	-29.641	0.99995	1	40.851	0.17535	0.64466	187	41.87	0.0095357	0.17163	77	10.393	0.99311	0.99942
CoA[m]	93	6.8484	0.83327	0.99999	-5.4938	0.20478	0.83643	20.921	0.77095	0.97978	61	16.189	0.95256	0.99076	32	13.313	0.16727	0.68544
acetyl-CoA[m]	53	0.89138	0.97639	0.99999	0.90308	0.027265	0.35382	14.485	0.85419	0.98629	34	8.6916	0.99492	0.99665	19	12.566	0.054557	0.50541
AMP[m]	56	4.5596	0.83691	0.99999	-4.3927	0.26472	0.90708	17.308	0.56569	0.96389	35	13.318	0.80674	0.99076	21	11.071	0.19109	0.72859
PPi[m]	52	4.9096	0.78312	0.99999	-4.9096	0.34478	0.99872	14.685	0.8168	0.9838	32	12.204	0.85113	0.99076	20	8.2419	0.54452	0.9673
NAD+[m]	151	17.26	0.10535	0.51248	-15.426	0.86487	1	29.388	0.45212	0.91186	106	26.991	0.49378	0.99076	45	12.408	0.5582	0.9673
pyruvate[m]	15	9.8683	0.044662	0.35128	-8.8524	0.91677	1	11.673	0.16544	0.6389	12	11.398	0.1863	0.7707	3	3.306	0.49786	0.96722
CO2[m]	35	12.512	0.033243	0.30067	-12.512	0.96792	1	14.962	0.35709	0.85452	27	15	0.3017	0.93225	8	3.74	0.74134	0.9673
H+[m]	439	34.71	0.00010291	0.0062491	-32.487	0.99979	1	51.594	0.21956	0.7214	310	50.303	0.057178	0.4198	129	17.2	0.96016	0.98432
NADH[m]	146	16.417	0.13974	0.57901	-14.552	0.82639	1	28.977	0.44368	0.9064	102	26.284	0.53194	0.99076	44	12.764	0.48886	0.96722
H+[p]	72	3.7087	0.94069	0.99999	-2.0875	0.071168	0.55736	22.884	0.14544	0.60404	41	17.252	0.43331	0.99076	31	15.035	0.045309	0.45501
NADH[p];NAD+[p]	29	0.43725	0.93756	0.99999	2.1173	0.035484	0.39811	17.329	0.041962	0.34962	15	12.131	0.23064	0.83405	14	12.383	0.023671	0.3449
pyruvate[p]	9	7.9321	0.080774	0.45289	-7.9321	0.91235	1	10.394	0.10243	0.52345	8	9.4221	0.22283	0.82742	1	4.532	0.15819	0.66304
L-lactate[p]	4	5.3699	0.1738	0.65118	-5.3699	0.81774	1	4.8552	0.48358	0.93172	4	4.8552	0.56929	0.99076	0	NA	NA	NA
pyruvate[c]	29	10.462	0.081315	0.45289	-10.462	0.92455	1	12.001	0.61906	0.97734	23	11.917	0.60227	0.99076	6	3.0509	0.73583	0.9673
L-lactate[c]	18	7.6799	0.17034	0.6476	-7.6799	0.84352	1	10.191	0.47588	0.926	13	10.446	0.35063	0.97794	5	2.4933	0.74528	0.9673
H2O[c]	879	22.456	0.99594	0.99999	-18.777	0.017049	0.26386	69.272	0.62641	0.97734	539	57.109	0.93506	0.99076	340	39.476	0.046587	0.46457
acetaldehyde[m];lactaldehyde[m];4-aminobutanal[m];4-acetamidobutanoate[c];imidazole-4-acetate[c];glycolaldehyde[m];glycolate[m];D-glucurono-6,3-lactone[c];D-glucarate[c];perillyl aldehyde[c];perillic acid[c]	5	1.4978	0.59693	0.99999	-1.4978	0.44841	1	6.423	0.33494	0.84884	3	5.1059	0.41428	0.99076	2	3.9022	0.32506	0.888
H2O[m]	308	30.159	0.00031295	0.013274	-26.552	0.99728	1	45.281	0.073822	0.45301	220	43.696	0.030873	0.27919	88	15.623	0.81352	0.9673
fructose-6-phosphate[c]	23	6.9609	0.29584	0.83489	-6.9062	0.74107	1	13.051	0.25889	0.77413	15	12.495	0.19027	0.77945	8	5.0195	0.5622	0.9673
ADP[c]	678	34.074	0.024652	0.25916	-29.267	0.933	1	64.979	0.094509	0.51052	431	61.151	0.0043636	0.10138	247	26.879	0.89731	0.97155
fructose-1,6-bisphosphate[c]	8	6.6945	0.13799	0.576	-6.6066	0.85409	1	12.392	0.013723	0.22554	6	10.809	0.044741	0.35458	2	6.063	0.1013	0.61961
UTP[c]	84	29.133	4.5663e-09	8.0413e-06	-28.478	1	1	29.976	0.00062041	0.045523	73	30.911	0.00054471	0.030794	11	3.2074	0.88362	0.97155
UDP[c]	103	25.444	1.0181e-05	0.0011205	-24.463	0.99995	1	28.941	0.030292	0.31813	78	30.568	0.0017646	0.05868	25	4.749	0.96881	0.99033
DHAP[c]	9	5.8717	0.2123	0.71868	-1.5171	0.38099	1	14.937	0.0013251	0.066776	6	12.174	0.012964	0.18954	3	8.6538	0.019488	0.31942
erythrose-4-phosphate[c]	6	9.4436	0.023359	0.2493	-9.4436	0.96841	1	8.9496	0.11996	0.56333	6	8.9496	0.16414	0.72403	0	NA	NA	NA
sedoheptulose-1,7-bisphosphate[c]	6	11.375	0.0053574	0.092495	-11.274	0.99015	1	10.809	0.030139	0.31813	6	10.809	0.044741	0.35458	0	NA	NA	NA
PEP[c]	8	12.723	0.0022247	0.05382	-12.723	0.99583	1	12.278	0.015334	0.22865	8	12.278	0.030569	0.27874	0	NA	NA	NA
methylglyoxal[c]	11	2.3314	0.62484	0.99999	1.6076	0.12292	0.72528	6.9655	0.63038	0.97734	7	5.4955	0.71117	0.99076	4	4.2812	0.43151	0.95692
2-phospho-D-glycerate[c]	7	9.0996	0.032579	0.29726	-9.0996	0.95835	1	8.302	0.21921	0.7214	7	8.302	0.30086	0.93225	0	NA	NA	NA
3-phospho-D-glycerate[c]	13	9.0262	0.061481	0.39951	-8.624	0.91942	1	9.36	0.37669	0.85827	10	10.337	0.21933	0.82479	3	0.61129	0.84901	0.96952
1,3-bisphospho-D-glycerate[c]	11	10.435	0.020681	0.23496	-9.9983	0.96545	1	10.887	0.12557	0.5729	9	11.547	0.076575	0.48641	2	1.0372	0.73708	0.9673
Pi[c]	356	24.49	0.090678	0.47828	-22.622	0.92523	1	47.305	0.15202	0.61328	233	43.51	0.085117	0.51373	123	20.594	0.5891	0.9673
2,3-bisphospho-D-glycerate[c]	4	4.3105	0.26333	0.79656	-4.3105	0.73764	1	3.4622	0.68711	0.97978	4	3.4622	0.76324	0.99076	0	NA	NA	NA
GAP[c]	9	12.79	0.0024186	0.055314	-12.79	0.99549	1	12.141	0.026425	0.30818	9	12.141	0.04867	0.37257	0	NA	NA	NA
glucose-6-phosphate[c]	12	5.6331	0.28147	0.81284	-5.6335	0.73998	1	11.577	0.10209	0.52345	9	9.5775	0.25234	0.86808	3	6.5643	0.10385	0.61961
glucose[c]	33	3.3883	0.77986	0.99999	-2.4957	0.24893	0.90708	15.61	0.22264	0.72606	18	13.087	0.2241	0.82745	15	8.8168	0.29844	0.85456
glucose-1-phosphate[c]	14	4.5781	0.42776	0.9312	-4.1906	0.58122	1	10.225	0.30348	0.8273	8	9.9109	0.17039	0.73721	6	4.1743	0.5792	0.9673
glucose-6-phosphate[r]	7	8.4685	0.048486	0.36334	-8.469	0.94168	1	6.8798	0.40792	0.87802	7	6.8798	0.50985	0.99076	0	NA	NA	NA
H2O[r]	119	6.449	0.93092	0.99999	-6.3922	0.18401	0.81767	25.59	0.52878	0.95019	72	19.915	0.81636	0.99076	47	16.07	0.12168	0.65625
glucose[r]	5	12.073	0.0022398	0.05382	-9.78	0.97726	1	11.584	0.0084863	0.17791	5	11.584	0.012494	0.18753	0	NA	NA	NA
Pi[r]	22	15.213	0.0014674	0.038568	-15.212	0.99748	1	15.033	0.069123	0.441	19	15.916	0.038201	0.31451	3	0.65579	0.84496	0.96952
