Num	Gene_ID
1	ENSG00000000419
2	ENSG00000001036
3	ENSG00000001084
4	ENSG00000001630
5	ENSG00000002549
6	ENSG00000002726
7	ENSG00000003137
8	ENSG00000003989
9	ENSG00000004455
10	ENSG00000004779
11	ENSG00000004864
12	ENSG00000004939
13	ENSG00000005022
14	ENSG00000005075
15	ENSG00000005249
16	ENSG00000005381
17	ENSG00000005421
18	ENSG00000005469
19	ENSG00000005483
20	ENSG00000005882
21	ENSG00000006062
22	ENSG00000006530
23	ENSG00000006625
24	ENSG00000006757
25	ENSG00000007001
26	ENSG00000007047
27	ENSG00000007168
28	ENSG00000007264
29	ENSG00000007350
30	ENSG00000007541
31	ENSG00000008128
32	ENSG00000008130
33	ENSG00000008311
34	ENSG00000008394
35	ENSG00000010256
36	ENSG00000010404
37	ENSG00000010810
38	ENSG00000011009
39	ENSG00000011052
40	ENSG00000011083
41	ENSG00000011198
42	ENSG00000011405
43	ENSG00000011485
44	ENSG00000011566
45	ENSG00000012232
46	ENSG00000012660
47	ENSG00000012779
48	ENSG00000012983
49	ENSG00000013375
50	ENSG00000013392
51	ENSG00000013441
52	ENSG00000013503
53	ENSG00000014138
54	ENSG00000014641
55	ENSG00000015413
56	ENSG00000015520
57	ENSG00000015532
58	ENSG00000016864
59	ENSG00000017260
60	ENSG00000017483
61	ENSG00000017797
62	ENSG00000018280
63	ENSG00000018510
64	ENSG00000019186
65	ENSG00000021461
66	ENSG00000023041
67	ENSG00000023228
68	ENSG00000023330
69	ENSG00000023697
70	ENSG00000023909
71	ENSG00000025423
72	ENSG00000025800
73	ENSG00000027847
74	ENSG00000028116
75	ENSG00000030066
76	ENSG00000030304
77	ENSG00000031698
78	ENSG00000032444
79	ENSG00000033011
80	ENSG00000033100
81	ENSG00000033170
82	ENSG00000033867
83	ENSG00000034152
84	ENSG00000035687
85	ENSG00000036565
86	ENSG00000037757
87	ENSG00000038002
88	ENSG00000038210
89	ENSG00000038274
90	ENSG00000039123
91	ENSG00000040933
92	ENSG00000044446
93	ENSG00000047230
94	ENSG00000047249
95	ENSG00000047315
96	ENSG00000047410
97	ENSG00000047936
98	ENSG00000048392
99	ENSG00000049860
100	ENSG00000050748
101	ENSG00000051341
102	ENSG00000051382
103	ENSG00000052802
104	ENSG00000053371
105	ENSG00000054148
106	ENSG00000054179
107	ENSG00000054983
108	ENSG00000055332
109	ENSG00000056998
110	ENSG00000058091
111	ENSG00000058600
112	ENSG00000058668
113	ENSG00000058729
114	ENSG00000058804
115	ENSG00000059573
116	ENSG00000059758
117	ENSG00000059804
118	ENSG00000060069
119	ENSG00000060237
120	ENSG00000060642
121	ENSG00000060656
122	ENSG00000060762
123	ENSG00000060971
124	ENSG00000060982
125	ENSG00000062485
126	ENSG00000062822
127	ENSG00000063176
128	ENSG00000063601
129	ENSG00000063854
130	ENSG00000064225
131	ENSG00000064601
132	ENSG00000064763
133	ENSG00000065154
134	ENSG00000065243
135	ENSG00000065361
136	ENSG00000065427
137	ENSG00000065518
138	ENSG00000065559
139	ENSG00000065613
140	ENSG00000065675
141	ENSG00000065833
142	ENSG00000065911
143	ENSG00000065989
144	ENSG00000066322
145	ENSG00000066379
146	ENSG00000066468
147	ENSG00000066926
148	ENSG00000067057
149	ENSG00000067064
150	ENSG00000067113
151	ENSG00000067225
152	ENSG00000067606
153	ENSG00000067829
154	ENSG00000067840
155	ENSG00000067900
156	ENSG00000068001
157	ENSG00000068078
158	ENSG00000068120
159	ENSG00000068366
160	ENSG00000068383
161	ENSG00000068654
162	ENSG00000068745
163	ENSG00000068903
164	ENSG00000068976
165	ENSG00000069248
166	ENSG00000069535
167	ENSG00000069764
168	ENSG00000069943
169	ENSG00000069956
170	ENSG00000070019
171	ENSG00000070214
172	ENSG00000070501
173	ENSG00000070610
174	ENSG00000070614
175	ENSG00000070669
176	ENSG00000070759
177	ENSG00000070770
178	ENSG00000070778
179	ENSG00000070961
180	ENSG00000071054
181	ENSG00000071242
182	ENSG00000071553
183	ENSG00000071967
184	ENSG00000072041
185	ENSG00000072042
186	ENSG00000072062
187	ENSG00000072133
188	ENSG00000072135
189	ENSG00000072310
190	ENSG00000072506
191	ENSG00000072518
192	ENSG00000072756
193	ENSG00000072778
194	ENSG00000072786
195	ENSG00000073060
196	ENSG00000073578
197	ENSG00000073711
198	ENSG00000073734
199	ENSG00000073737
200	ENSG00000073849
201	ENSG00000074370
202	ENSG00000074590
203	ENSG00000074621
204	ENSG00000074696
205	ENSG00000074800
206	ENSG00000074966
207	ENSG00000075188
208	ENSG00000075239
209	ENSG00000075413
210	ENSG00000075415
211	ENSG00000075673
212	ENSG00000076201
213	ENSG00000076351
214	ENSG00000076685
215	ENSG00000076984
216	ENSG00000077009
217	ENSG00000077463
218	ENSG00000077498
219	ENSG00000077514
220	ENSG00000077782
221	ENSG00000078061
222	ENSG00000078070
223	ENSG00000078124
224	ENSG00000078237
225	ENSG00000079215
226	ENSG00000079277
227	ENSG00000079335
228	ENSG00000079393
229	ENSG00000079435
230	ENSG00000079459
231	ENSG00000079462
232	ENSG00000079739
233	ENSG00000079805
234	ENSG00000079931
235	ENSG00000080511
236	ENSG00000080819
237	ENSG00000081181
238	ENSG00000081237
239	ENSG00000081320
240	ENSG00000081377
241	ENSG00000081721
242	ENSG00000081800
243	ENSG00000081913
244	ENSG00000083123
245	ENSG00000083223
246	ENSG00000083720
247	ENSG00000084090
248	ENSG00000084207
249	ENSG00000084754
250	ENSG00000084774
251	ENSG00000085231
252	ENSG00000085415
253	ENSG00000085511
254	ENSG00000085662
255	ENSG00000085871
256	ENSG00000085998
257	ENSG00000086015
258	ENSG00000086062
259	ENSG00000086159
260	ENSG00000086232
261	ENSG00000086544
262	ENSG00000086848
263	ENSG00000087008
264	ENSG00000087053
265	ENSG00000087076
266	ENSG00000087085
267	ENSG00000087095
268	ENSG00000087157
269	ENSG00000087470
270	ENSG00000087586
271	ENSG00000088035
272	ENSG00000088766
273	ENSG00000088826
274	ENSG00000089057
275	ENSG00000089597
276	ENSG00000090013
277	ENSG00000090020
278	ENSG00000090054
279	ENSG00000090060
280	ENSG00000090266
281	ENSG00000090402
282	ENSG00000090661
283	ENSG00000090857
284	ENSG00000090861
285	ENSG00000090971
286	ENSG00000091138
287	ENSG00000091140
288	ENSG00000091483
289	ENSG00000092068
290	ENSG00000092445
291	ENSG00000092621
292	ENSG00000092964
293	ENSG00000093000
294	ENSG00000093010
295	ENSG00000093072
296	ENSG00000094841
297	ENSG00000094914
298	ENSG00000095015
299	ENSG00000095059
300	ENSG00000095139
301	ENSG00000095303
302	ENSG00000095319
303	ENSG00000095321
304	ENSG00000095380
305	ENSG00000095464
306	ENSG00000095596
307	ENSG00000096006
308	ENSG00000096063
309	ENSG00000096717
310	ENSG00000097007
311	ENSG00000097021
312	ENSG00000097033
313	ENSG00000097046
314	ENSG00000099194
315	ENSG00000099308
316	ENSG00000099377
317	ENSG00000099381
318	ENSG00000099624
319	ENSG00000099795
320	ENSG00000099797
321	ENSG00000099810
322	ENSG00000099817
323	ENSG00000099821
324	ENSG00000099875
325	ENSG00000099904
326	ENSG00000099984
327	ENSG00000100030
328	ENSG00000100031
329	ENSG00000100033
330	ENSG00000100034
331	ENSG00000100075
332	ENSG00000100078
333	ENSG00000100092
334	ENSG00000100101
335	ENSG00000100116
336	ENSG00000100121
337	ENSG00000100142
338	ENSG00000100170
339	ENSG00000100243
