"","length","gc"
"ENSG00000000003",4536,0.399250440917108
"ENSG00000000005",1476,0.424119241192412
"ENSG00000000419",1207,0.415907207953604
"ENSG00000000457",6883,0.41173906726718
"ENSG00000000460",5970,0.429815745393635
"ENSG00000000938",3382,0.564458900059137
"ENSG00000000971",7980,0.360651629072682
"ENSG00000001036",2822,0.430900070871722
"ENSG00000001084",8618,0.393362729171502
"ENSG00000001167",3811,0.450013119916033
"ENSG00000001460",8511,0.484431911643755
"ENSG00000001461",9396,0.469029374201788
"ENSG00000001497",5589,0.51207729468599
"ENSG00000001561",4644,0.344315245478036
"ENSG00000001617",4826,0.628056361375881
"ENSG00000001626",9942,0.410380205190103
"ENSG00000001629",7389,0.420625253755583
"ENSG00000001630",3529,0.48200623406064
"ENSG00000001631",6204,0.377176015473888
"ENSG00000002016",4503,0.438374417055296
"ENSG00000002330",1708,0.599531615925059
"ENSG00000002549",3785,0.449405548216645
"ENSG00000002586",4858,0.499382461918485
"ENSG00000002587",7435,0.485137861466039
"ENSG00000002745",3264,0.418811274509804
"ENSG00000002746",13935,0.477646214567635
"ENSG00000002822",7230,0.558091286307054
"ENSG00000002834",7061,0.573573148279281
"ENSG00000002919",3606,0.507487520798669
"ENSG00000002933",3477,0.57578372159908
"ENSG00000003056",3585,0.429567642956764
"ENSG00000003096",6983,0.429041959043391
"ENSG00000003137",5015,0.59740777666999
"ENSG00000003147",4883,0.460167929551505
"ENSG00000003249",4700,0.595106382978723
"ENSG00000003393",10438,0.393466181260778
"ENSG00000003400",7581,0.462340060678011
"ENSG00000003402",22479,0.459895902842653
"ENSG00000003436",11714,0.416851630527574
"ENSG00000003509",3651,0.422076143522323
"ENSG00000003756",10357,0.439509510476007
"ENSG00000003987",6928,0.437788683602771
"ENSG00000003989",7905,0.416192283364959
"ENSG00000004059",1825,0.593972602739726
"ENSG00000004139",11105,0.554975236380009
"ENSG00000004142",2670,0.521348314606742
"ENSG00000004399",9738,0.603101252823989
"ENSG00000004455",9625,0.464519480519481
"ENSG00000004468",6857,0.425550532302756
"ENSG00000004478",5163,0.52527600232423
"ENSG00000004487",5440,0.466727941176471
"ENSG00000004534",7299,0.469790382244143
"ENSG00000004660",7433,0.576483250369972
"ENSG00000004700",3779,0.411219899444297
"ENSG00000004766",9559,0.356418035359347
"ENSG00000004776",1724,0.627030162412993
